"Name";"Transliteration";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"Metro";"Diameter";"Aeroexpress";"AeroexpressTerminal";"AeroexpressTicketWindow";"AeroexpressTicketAutomat";"WiFiAvailability";"BabyCareRoom";"PublicPhone";"WebSite";"WorkingHours";"ExtraInfo";"global_id";"geoData";"geodata_center";
"Наименование";"Транслитерация наименования";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"Ближайшие станции метро";"Пересадка на станции МЦД";"Пересадка на аэроэкспресс до аэропорта";"Наличие пассажирского терминала Аэроэкспресс";"Наличие кассового окна Аэроэкспресс";"Наличие билетопечатающего автомата Аэроэкспресс";"Наличие Wi-Fi";"Комната матери и ребёнка";"Контактный телефон";"Сайт";"График работы";"Дополнительная информация";"global_id";"geoData";"geodata_center";
"Белорусский";"Belorusskiy Railway Terminal";"Центральный административный округ";"Тверской район";"город Москва, площадь Тверская Застава, дом 7, строение 1";"37.58131185498377";"55.77689363332867";"nested data";"nested data";"Аэропорт Шереметьево";"есть";"есть";"есть";"есть";"есть";"nested data";"belorussky.dzvr.ru";"nested data";"";"1058611508";"{coordinates=[37.581311855, 55.776893633], type=Point}";"";
"Казанский";"Kazanskiy Railway Terminal";"Центральный административный округ";"Красносельский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Комсомольская площадь, дом 2";"37.6563762027765";"55.7735218489397";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"нет";"nested data";"kazansky.dzvr.ru";"nested data";"";"1058611738";"{coordinates=[37.656376203, 55.773521849], type=Point}";"";
"Рижский";"Rizhskiy Railway Terminal";"Северо-Восточный административный округ";"район Марьина Роща";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Рижская площадь, дом 1";"37.6326024179034";"55.7925809499944";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"нет";"nested data";"rizhsky.dzvr.ru";"nested data";"Планируется пересадка на МЦД-3";"1058611993";"{coordinates=[37.632602418, 55.79258095], type=Point}";"";
"Ярославский";"Yaroslavskiy Railway Terminal";"Центральный административный округ";"Красносельский район";"город Москва, Комсомольская площадь, дом 5";"37.6573380229531";"55.7767189166741";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"есть";"nested data";"yaroslavsky.dzvr.ru";"nested data";"";"1058612845";"{coordinates=[37.657338023, 55.776718917], type=Point}";"";
"Ленинградский";"Leningradskiy Railway Terminal";"Центральный административный округ";"Красносельский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Комсомольская площадь, дом 3";"37.6550038884932";"55.7766445500945";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"есть";"nested data";"leningradsky.dzvr.ru";"nested data";"";"1058613060";"{coordinates=[37.655003888, 55.77664455], type=Point}";"";
"Курский";"Kursky Railway Terminal";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 29, строение 1";"37.6608582467716";"55.757497106595";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"есть";"nested data";"kursky.dzvr.ru/";"nested data";"";"1058614652";"{coordinates=[37.660858247, 55.757497107], type=Point}";"";
"Савёловский";"Savelovsky Railway Terminal";"Северо-Восточный административный округ";"Бутырский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, площадь Савёловского Вокзала, дом 2";"37.5880900996221";"55.7943579956359";"nested data";"nested data";"Аэропорт Шереметьево";"нет";"нет";"есть";"есть";"нет";"nested data";"savelovsky.dzvr.ru";"nested data";"";"1058615229";"{coordinates=[37.5880901, 55.794357996], type=Point}";"";
"Павелецкий";"Paveletsky Railway Terminal";"Центральный административный округ";"район Замоскворечье";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Павелецкая площадь, дом 1А, строение 1";"37.63953214978";"55.7297435221741";"nested data";"nested data";"Аэропорт Домодедово";"есть";"есть";"есть";"есть";"нет";"nested data";"paveletsky.dzvr.ru";"nested data";"";"1058615635";"{coordinates=[37.63953215, 55.729743522], type=Point}";"";
"Киевский";"Kievsky Railway Terminal";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 1";"37.5663404195679";"55.7430813650752";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"нет";"nested data";"kievsky.dzvr.ru";"nested data";"";"1058616246";"{coordinates=[37.56634042, 55.743081365], type=Point}";"";
"Восточный";"Vostochniy Railway Terminal";"Восточный административный округ";"район Гольяново";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 5, строение 1";"37.75594695391883";"55.804531070545195";"nested data";"nested data";"";"нет";"нет";"нет";"есть";"есть";"nested data";"";"nested data";"";"1124877069";"{coordinates=[37.755946954, 55.804531071], type=Point}";"";
